	device_time_stamp	system_time_stamp	UTC	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	3982710596	222141991604	1636632216.4771674	0.5000281929969788	0.7714144587516785	-0.2819366455078125	76.34512329101562	15.91461181640625	0.5441027879714966	0.44057101011276245	0.2675398886203766	-17.9138240814209	24.139074325561523	580.261962890625	3.667999267578125	1	1	1	0.5488756895065308	0.7906816005706787	18.0262451171875	71.02372741699219	13.655815124511719	0.38648003339767456	0.4474049210548401	0.24065816402435303	45.469078063964844	21.066333770751953	572.1974487304688	3.8400726318359375	1	1	1
1	3982718925	222141999921	1636632216.4859967	0.5019079446792603	0.7661087512969971	0.4225921630859375	77.81050109863281	16.53662872314453	0.5444469451904297	0.44067227840423584	0.2673946022987366	-18.05224609375	24.09612274169922	580.2183837890625		0	1	1	0.5473237037658691	0.8405417799949646	17.444549560546875	57.25285339355469	7.810417175292969	0.38695043325424194	0.44744032621383667	0.24072469770908356	45.282257080078125	21.05289077758789	572.2174072265625		0	1	1
2	3982727258	222142008241	1636632216.4943447	0.5017523169517517	0.7678784132003784	0.3642578125	77.32173156738281	16.32916259765625	0.5449103116989136	0.44064268469810486	0.2675321400165558	-18.241762161254883	24.1098575592041	580.2596435546875		0	1	1	0.5544236898422241	0.8254053592681885	20.10565185546875	61.433380126953125	9.584945678710938	0.38737016916275024	0.44730645418167114	0.24057312309741974	45.110538482666016	21.104833602905273	572.1719360351562		0	1	1
3	3982735604	222142016574	1636632216.5039344	0.5050376057624817	0.7555323839187622	1.5955963134765625	80.73158264160156	17.77655792236328	0.5450761318206787	0.4405521750450134	0.2675897181034088	-18.30965232849121	24.147340774536133	580.2769165039062	3.670074462890625	1	1	1	0.5643664002418518	0.8108631372451782	23.83221435546875	65.44978332519531	11.289810180664062	0.3875292241573334	0.4470624029636383	0.24036213755607605	45.041847229003906	21.200239181518555	572.108642578125	3.7666473388671875	1	1	1
4	3982743933	222142024888	1636632216.510256	0.5115207433700562	0.6969095468521118	4.0254974365234375	96.92262268066406	24.649253845214844	0.5452003479003906	0.4404100775718689	0.2679878771305084	-18.36388397216797	24.210039138793945	580.3963623046875		0	1	1	0.5701531171798706	0.7681535482406616	26.001083374023438	77.24574279785156	16.296905517578125	0.3878476321697235	0.44684070348739624	0.2397320568561554	44.899497985839844	21.281984329223633	571.9196166992188		0	1	1
5	3982752267	222142033208	1636632216.5191834	0.5213266611099243	0.6951013803482056	7.7007904052734375	97.42201232910156	24.861236572265625	0.5455019474029541	0.4403188228607178	0.2688980996608734	-18.495121002197266	24.258529663085938	580.66943359375		0	1	1	0.5873361825942993	0.7226752638816833	32.44134521484375	89.806396484375	21.628585815429688	0.3882080912590027	0.4466424286365509	0.23950277268886566	44.74980545043945	21.35879898071289	571.850830078125		0	1	1
6	3982760589	222142041519	1636632216.5271838	0.5299400091171265	0.6843178272247314	10.929092407226562	100.40032958984375	26.125450134277344	0.545746922492981	0.4403555989265442	0.26944416761398315	-18.599925994873047	24.25042152404785	580.833251953125	3.69635009765625	1	1	1	0.5897747278213501	0.7078819870948792	33.35533142089844	93.89215087890625	23.362892150878906	0.38840189576148987	0.44653424620628357	0.23970744013786316	44.67702865600586	21.404403686523438	571.9122314453125	3.784271240234375	1	1	1
7	3982768931	222142049859	1636632216.536383	0.535664975643158	0.6661804914474487	13.0748291015625	105.40968322753906	28.251800537109375	0.5459834933280945	0.4404483735561371	0.2696995139122009	-18.69858741760254	24.215885162353516	580.9098510742188		0	1	1													0	0	0
8	3982777263	222142058189	1636632216.5434282	0.5357010960578918	0.6662222146987915	13.088363647460938	105.39814758300781	28.246910095214844	0.5463953018188477	0.4405667185783386	0.2706198990345001	-18.875009536743164	24.179250717163086	581.1859741210938		0	1	1	0.5892555713653564	0.6981667280197144	33.160736083984375	96.57540893554688	24.501869201660156	0.3891807794570923	0.4466240108013153	0.23980265855789185	44.36742401123047	21.369531631469727	571.9407958984375		0	1	1
9	3982785598	222142066522	1636632216.5523498	0.5456193685531616	0.6683520078659058	16.805770874023438	104.80992126464844	27.997215270996094	0.5464863777160645	0.440607488155365	0.2714668810367584	-18.92033576965332	24.17322540283203	581.4400634765625	3.6739349365234375	1	1	1	0.6024277806282043	0.731473445892334	38.09773254394531	87.37641906738281	20.597129821777344	0.3893128037452698	0.44656887650489807	0.24027222394943237	44.32547378540039	21.396873474121094	572.0816650390625	3.679168701171875	1	1	1
10	3982793928	222142074850	1636632216.5613487	0.5491532683372498	0.6580950021743774	18.130279541015625	107.64280700683594	29.19970703125	0.5466365814208984	0.4405770003795624	0.2719014585018158	-18.985708236694336	24.191062927246094	581.5704345703125		0	1	1													0	0	0
11	3982802261	222142083181	1636632216.5683482													0	0	0													0	0	0
12	3982810596	222142091513	1636632216.5763474													0	0	0													0	0	0
13	3982818917	222142099832	1636632216.5843477													0	0	0													0	0	0
14	3982827260	222142108173	1636632216.5943475													0	0	0													0	0	0
15	3982835595	222142116506	1636632216.6022148													0	0	0													0	0	0
